runner,request,entry,compiler_arguments,status,numeric,repetitions,cold_median_us,cold_median_ms,cold_gop_s,cold_melements_s,melements_s,same_generated_c,stable_final_replay,reason
weft-mul-mat.sh,k1 q8_0 decode,mul_mat/q8_0_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,12639.215,,2.654788,,,True,True,
weft-mul-mat.sh,k1 q8_0 prefill,mul_mat/q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=4 --meta NR=2 --auto-unroll=1 --auto-pipeline-depth=2,PASS,within-tolerance,10,1919361.001,,2.237707,,,True,True,
weft-mul-mat.sh,k1 tq1_0 decode,mul_mat/tq1_0_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1 --auto-lmul-eighths=8,PASS,within-tolerance,10,10358.396,,3.239346,,,True,True,
weft-mul-mat.sh,k1 tq1_0 prefill,mul_mat/tq1_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=4 --meta NR=2 --auto-unroll=1 --auto-pipeline-depth=1 --auto-lmul-eighths=8,PASS,within-tolerance,10,991803.995,,4.330460,,,True,True,
weft-mul-mat.sh,k1 tq2_0 decode,mul_mat/tq2_0_decode.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,5352.751,,6.268634,,,True,True,
weft-mul-mat.sh,k1 tq2_0 prefill,mul_mat/tq2_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --meta NC=32 --meta MC=16 --meta MR=4 --meta NR=2 --auto-unroll=1 --auto-pipeline-depth=1,PASS,within-tolerance,10,662660.313,,6.481401,,,True,True,
weft-quantized-vec-dot.sh,k1 iq1_m,vec_dot/iq1_m_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 16 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,136452.579,,0.860669,,,True,True,
weft-quantized-vec-dot.sh,k1 iq1_s,vec_dot/iq1_s_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 32 --auto-unroll 4 --auto-pipeline-depth 1,PASS,within-tolerance,10,57966.887,,2.025993,,,True,True,
weft-quantized-vec-dot.sh,k1 iq2_s,vec_dot/iq2_s_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 16 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,62640.053,,1.874847,,,True,True,
weft-quantized-vec-dot.sh,k1 iq2_xs,vec_dot/iq2_xs_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 32 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,54066.245,,2.172160,,,True,True,
weft-quantized-vec-dot.sh,k1 iq2_xxs,vec_dot/iq2_xxs_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 32 --auto-unroll 4 --auto-pipeline-depth 1,PASS,within-tolerance,10,70241.269,,1.671959,,,True,True,
weft-quantized-vec-dot.sh,k1 iq3_s,vec_dot/iq3_s_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 16 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,63518.539,,1.848917,,,True,True,
weft-quantized-vec-dot.sh,k1 iq3_xxs,vec_dot/iq3_xxs_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 16 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,95687.538,,1.227333,,,True,True,
weft-quantized-vec-dot.sh,k1 iq4_nl,vec_dot/iq4_nl_q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,49415.391,,2.376598,,,True,True,
weft-quantized-vec-dot.sh,k1 iq4_xs,vec_dot/iq4_xs_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,44662.243,,2.629526,,,True,True,
weft-quantized-vec-dot.sh,k1 mxfp4,vec_dot/mxfp4_q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,49515.124,,2.371811,,,True,True,
weft-quantized-vec-dot.sh,k1 nvfp4,vec_dot/nvfp4_q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,124241.386,,0.945261,,,True,True,
weft-quantized-vec-dot.sh,k1 q1_0,vec_dot/q1_0_q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 8 --auto-unroll 4 --auto-pipeline-depth 1,PASS,within-tolerance,10,25882.556,,4.537439,,,True,True,
weft-quantized-vec-dot.sh,k1 q2_k,vec_dot/q2_k_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll 8 --auto-pipeline-depth 1,PASS,within-tolerance,10,34046.164,,3.449449,,,True,True,
weft-quantized-vec-dot.sh,k1 q3_k,vec_dot/q3_k_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 16 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,40935.816,,2.868894,,,True,True,
weft-quantized-vec-dot.sh,k1 q4_0,vec_dot/q4_0_q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,45855.906,,2.561077,,,True,True,
weft-quantized-vec-dot.sh,k1 q4_1,vec_dot/q4_1_q8_1.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,52305.691,,2.245272,,,True,True,
weft-quantized-vec-dot.sh,k1 q4_k,vec_dot/q4_k_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-unroll 8 --auto-pipeline-depth 1,PASS,within-tolerance,10,32798.333,,3.580685,,,True,True,
weft-quantized-vec-dot.sh,k1 q5_0,vec_dot/q5_0_q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 8 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,51559.876,,2.277750,,,True,True,
weft-quantized-vec-dot.sh,k1 q5_1,vec_dot/q5_1_q8_1.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 8 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,56916.542,,2.063381,,,True,True,
weft-quantized-vec-dot.sh,k1 q5_k,vec_dot/q5_k_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,69048.003,,1.700853,,,True,True,
weft-quantized-vec-dot.sh,k1 q6_k,vec_dot/q6_k_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 32 --auto-unroll 2 --auto-pipeline-depth 1,PASS,within-tolerance,10,47779.550,,2.457966,,,True,True,
weft-quantized-vec-dot.sh,k1 q8_0,vec_dot/q8_0_q8_0.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,44006.453,,2.668711,,,True,True,
weft-quantized-vec-dot.sh,k1 tq1_0,vec_dot/tq1_0_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256 --auto-lmul-eighths 8 --auto-unroll 1 --auto-pipeline-depth 1,PASS,within-tolerance,10,36594.096,,3.209275,,,True,True,
weft-quantized-vec-dot.sh,k1 tq2_0,vec_dot/tq2_0_q8_k.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,18754.104,,6.262123,,,True,True,
weft-row-dequantize.sh,k1 iq1_m,dequantize/iq1_m.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,13239.225,,,316.808877,,True,True,
weft-row-dequantize.sh,k1 iq1_s,dequantize/iq1_s.py,--march=rv64gcv_zfh_zvfh_zicbop_zihintpause_zba --abi=lp64d --vlen-bits=256,PASS,within-tolerance,10,9270.372,,,452.441822,,True,True,
